department,study_mode,hosteller,attendance,assignment_score,midterm_score,final_score,study_hours,backlogs,placement_selected
CE,Hybrid,No,88,56,79,93,3.5,1,1
CE,Online,No,90,35,81,57,2.4,2,0
ME,Hybrid,Yes,58,77,93,40,4.7,0,1
EE,Offline,Yes,54,75,49,77,6,5,0
EE,Hybrid,No,84,59,59,41,4.7,2,0
EE,Online,Yes,54,94,58,35,2.6,1,0
CSE,Offline,Yes,55,78,50,68,4.5,4,0
CE,Online,No,94,60,37,30,4.8,3,0
ME,Online,No,88,63,77,78,5.4,5,0
CE,Offline,No,59,70,37,67,5.3,3,0
CE,Online,Yes,69,89,73,78,3.9,4,0
CSE,Hybrid,Yes,96,86,94,39,6.4,1,1
CE,Offline,No,87,72,33,93,6.3,3,1
EE,Offline,Yes,75,76,76,35,5.9,4,0
EE,Hybrid,Yes,61,73,46,71,4.2,3,0
CSE,Online,No,91,97,49,65,4.4,4,0
CE,Online,Yes,59,91,81,71,5.3,3,1
ME,Online,Yes,89,57,52,61,5.8,4,0
ME,Online,No,77,39,45,40,5.4,1,0
ME,Online,Yes,52,44,58,51,4.7,5,0
ECE,Online,Yes,65,50,54,66,5.8,4,0
EE,Hybrid,No,67,73,94,75,6.8,2,1
CE,Online,Yes,61,66,58,85,2.1,2,0
CE,Hybrid,Yes,59,53,91,67,4.4,4,0
CSE,Hybrid,Yes,54,90,57,67,6.2,2,1
ECE,Offline,Yes,93,72,38,41,5,3,0
CSE,Offline,No,52,96,91,90,2.9,1,1
CSE,Offline,Yes,64,85,55,71,3,0,1
ECE,Offline,No,91,56,94,46,5.8,0,1
ME,Hybrid,Yes,85,93,42,53,1.2,5,0
ME,Hybrid,Yes,70,40,94,62,5.1,0,1
ECE,Hybrid,Yes,93,69,25,63,3.9,2,0
ME,Hybrid,Yes,66,95,53,90,4.1,2,1
ME,Hybrid,No,52,85,63,42,7.9,3,0
ME,Hybrid,Yes,66,39,76,71,5.1,1,0
EE,Offline,Yes,53,59,93,93,7,0,1
CE,Hybrid,No,74,90,87,71,5.4,3,1
ECE,Hybrid,No,58,37,56,42,3.8,2,0
EE,Online,No,60,49,70,75,9.2,5,0
ME,Hybrid,Yes,63,42,73,96,4.1,5,0
CSE,Hybrid,Yes,80,72,53,50,3.1,1,0
EE,Online,Yes,87,60,66,57,5,3,0
CE,Offline,Yes,87,52,90,97,4.3,3,1
ECE,Offline,No,56,41,51,61,5.1,4,0
CE,Online,Yes,88,62,57,96,3.9,5,0
CSE,Online,No,94,59,26,42,4.4,4,0
ME,Hybrid,No,62,90,82,53,4.9,4,0
ECE,Hybrid,No,70,47,71,94,4.9,2,1
ME,Online,Yes,98,61,64,45,4.9,5,0
EE,Online,No,99,91,97,89,3.9,2,1
ME,Offline,No,80,81,80,44,9.3,3,1
ECE,Offline,No,84,79,71,33,7,1,1
CE,Online,Yes,60,83,98,84,5.1,4,1
CSE,Offline,Yes,72,75,25,86,5.3,0,1
CE,Hybrid,No,70,60,33,43,3.9,3,0
EE,Online,No,97,48,42,78,6.5,0,1
CSE,Offline,Yes,73,87,85,77,5.8,0,1
ECE,Offline,Yes,51,65,50,35,6.3,5,0
CSE,Hybrid,Yes,87,35,67,64,3.8,0,1
EE,Online,No,72,57,42,68,5.7,0,1
CE,Hybrid,Yes,56,92,48,38,3.9,0,0
ME,Online,No,69,62,72,81,3.9,0,1
CSE,Online,No,93,98,82,36,6.1,5,0
ME,Hybrid,No,73,46,97,76,7.7,5,0
CE,Hybrid,Yes,55,86,50,45,3.6,0,0
ECE,Online,No,65,41,25,36,5.1,2,0
ECE,Online,Yes,86,64,77,66,5.4,0,1
CE,Hybrid,Yes,52,53,41,78,6.4,5,0
EE,Hybrid,Yes,59,98,36,47,5.9,4,0
ME,Offline,Yes,57,35,99,85,5.5,5,0
EE,Offline,Yes,73,36,35,48,7,1,0
ECE,Online,Yes,57,87,42,75,6,3,0
EE,Offline,No,90,53,50,95,5.5,0,1
CE,Offline,No,50,62,78,75,7.6,2,1
ECE,Offline,Yes,54,56,82,50,3.3,5,0
ME,Offline,No,60,62,42,36,2.7,5,0
EE,Online,Yes,78,70,67,96,2.3,5,0
CSE,Offline,Yes,97,56,74,32,4.4,1,0
EE,Online,Yes,78,50,76,59,2.7,3,0
ECE,Hybrid,No,54,42,59,44,6.5,2,0
EE,Hybrid,No,88,72,51,75,3.1,4,0
ECE,Online,Yes,67,77,74,33,5.2,1,0
CE,Hybrid,Yes,65,63,73,67,4.8,1,1
ME,Online,No,67,49,73,43,4.4,1,0
CE,Offline,No,97,93,33,77,4,2,1
CE,Hybrid,No,60,48,84,48,6.6,2,0
ECE,Online,No,91,71,83,88,5.6,4,1
EE,Hybrid,No,53,60,60,43,3.4,5,0
CSE,Offline,No,72,83,52,34,6.1,2,0
EE,Online,Yes,87,42,76,33,5.9,3,0
CSE,Hybrid,No,59,53,76,50,6.2,1,0
CSE,Hybrid,No,78,91,56,58,5.2,3,0
EE,Offline,Yes,86,63,42,68,4.6,5,0
CSE,Hybrid,Yes,61,47,44,70,5.6,1,0
CSE,Offline,Yes,63,36,66,71,6,0,1
ME,Online,Yes,89,40,92,88,7.2,3,1
EE,Online,No,56,36,66,61,5.3,3,0
CE,Online,No,52,81,67,53,5,4,0
ECE,Hybrid,No,71,96,78,95,4.2,5,1
CSE,Hybrid,Yes,79,86,28,98,3.5,5,0
EE,Offline,Yes,84,36,45,42,6.7,1,0
EE,Online,No,72,55,78,55,5.4,1,1
ECE,Online,No,93,97,70,80,2,3,1
EE,Online,Yes,74,48,74,33,5.3,0,0
ME,Hybrid,Yes,61,79,60,51,3.5,1,0
CE,Online,Yes,85,54,86,62,5.8,4,0
EE,Offline,No,55,92,91,73,5.6,5,0
ECE,Online,No,72,96,38,63,6.4,3,0
EE,Offline,Yes,94,65,66,59,5.4,4,0
EE,Hybrid,Yes,53,80,54,99,6.9,5,0
CE,Offline,No,96,55,31,85,4.6,5,0
EE,Offline,Yes,76,65,90,65,2,4,0
ECE,Offline,Yes,66,59,56,55,7.9,4,0
EE,Offline,Yes,51,44,65,87,5.4,3,0
CE,Online,Yes,94,49,89,93,7.6,5,1
CSE,Online,Yes,54,37,60,48,3,4,0
ECE,Offline,Yes,73,86,80,76,6,1,1
CSE,Offline,Yes,51,74,64,51,3.7,4,0
ME,Offline,Yes,66,44,36,47,2.5,0,0
CSE,Online,Yes,60,78,81,52,2.4,3,0
ECE,Online,No,84,90,28,41,4.4,3,0
ECE,Offline,Yes,61,53,98,96,4,1,1
CSE,Hybrid,No,81,48,71,48,5.3,4,0
CE,Offline,No,74,87,31,66,3.1,0,1
CSE,Hybrid,Yes,66,54,56,68,4.3,4,0
ME,Hybrid,Yes,84,69,44,68,2.7,4,0
CE,Offline,Yes,96,68,97,58,7.3,4,1
ME,Offline,Yes,88,66,89,62,7.1,0,1
CSE,Online,No,70,46,29,72,5.1,0,0
CE,Hybrid,No,98,95,34,38,6,1,1
ME,Hybrid,No,88,86,62,39,5.3,0,1
EE,Hybrid,Yes,86,69,49,53,4.2,5,0
ME,Online,No,94,89,97,52,4.9,2,1
ECE,Online,Yes,80,50,68,57,5.5,5,0
ECE,Hybrid,No,78,44,44,91,6.4,5,0
EE,Hybrid,No,98,64,53,86,8.1,3,1
ECE,Online,No,72,46,35,33,3.3,2,0
EE,Hybrid,Yes,78,97,91,51,5.9,5,0
EE,Offline,Yes,66,39,65,80,4,4,0
CE,Online,Yes,90,98,77,97,3.5,3,1
CSE,Online,Yes,78,71,97,66,5.7,4,1
ME,Online,No,76,50,25,99,4.1,2,0
CE,Offline,No,93,84,65,61,4.8,3,1
ME,Hybrid,No,71,63,37,49,7.1,3,0
ECE,Hybrid,Yes,73,77,40,67,4.5,2,0
ME,Offline,No,93,61,87,96,4.3,2,1
EE,Online,Yes,69,36,33,75,4.9,5,0
ECE,Hybrid,No,54,88,73,32,6.2,4,0
ECE,Hybrid,No,83,83,98,39,6.8,1,1
ECE,Hybrid,No,78,68,99,36,5.8,0,1
EE,Offline,No,69,42,78,86,5.8,4,0
CE,Hybrid,Yes,58,47,67,79,6.5,4,0
ECE,Offline,Yes,51,44,81,43,4.7,1,0
ECE,Online,Yes,50,98,35,88,7.9,4,1
EE,Online,No,97,77,72,69,3.4,4,0
CE,Offline,No,64,40,71,92,4.8,3,0
ME,Hybrid,No,96,71,74,85,5.4,5,1
CE,Online,No,58,44,85,56,4.1,1,0
ECE,Offline,Yes,73,66,52,33,5.2,2,0
CSE,Offline,Yes,51,37,92,70,7.7,4,0
CSE,Hybrid,No,50,78,50,34,5.1,2,0
CSE,Online,No,99,59,54,80,3.3,1,1
CE,Hybrid,No,50,79,65,41,3.3,1,0
EE,Online,No,67,38,97,52,6.8,2,0
CSE,Hybrid,No,92,82,33,37,7.4,1,1
ME,Hybrid,Yes,86,84,45,76,3.2,1,1
EE,Online,Yes,78,72,75,36,4.5,4,0
CSE,Hybrid,Yes,56,72,77,93,5.1,3,1
CSE,Hybrid,No,60,80,28,58,7.1,1,0
ECE,Offline,Yes,69,51,63,30,5.2,3,0
CSE,Online,No,88,40,34,95,5.2,2,0
ECE,Offline,No,77,78,88,75,3.3,5,0
CE,Offline,Yes,77,47,75,65,5.7,0,1
CSE,Online,Yes,53,43,42,39,4.7,5,0
EE,Online,Yes,64,52,48,97,6.3,3,0
ECE,Hybrid,No,54,57,78,70,4,1,0
ECE,Online,Yes,72,40,94,47,7.8,3,0
ME,Offline,Yes,61,96,61,79,5,4,0
CSE,Hybrid,Yes,72,86,72,77,3.9,5,0
CE,Offline,Yes,87,36,50,85,4.2,2,0
ME,Online,Yes,62,55,98,48,4.2,4,0
ECE,Offline,Yes,83,57,55,90,5.5,5,0
ECE,Offline,Yes,99,95,37,47,6.2,0,1
EE,Online,Yes,76,43,77,99,6.4,2,1
ME,Hybrid,No,98,61,63,55,4.2,2,0
CSE,Online,No,52,54,83,54,6.5,2,0
CSE,Online,Yes,70,65,70,73,2.7,4,0
CE,Online,No,84,98,94,79,4.3,2,1
CE,Offline,No,89,36,80,95,5.3,4,0
EE,Offline,Yes,96,36,87,78,3,0,1
CE,Offline,Yes,91,53,30,85,8.3,5,0
CE,Online,Yes,79,98,75,38,3.9,2,1
EE,Hybrid,No,86,50,93,73,5,5,0
ME,Offline,Yes,69,72,41,38,8.2,1,0
EE,Offline,No,63,69,51,42,6,3,0
EE,Hybrid,No,87,43,83,77,5.4,2,1
CSE,Hybrid,No,66,60,25,60,4.8,2,0
CSE,Offline,No,63,51,81,85,5.6,0,1
CSE,Offline,Yes,77,94,50,83,8.4,1,1
EE,Online,Yes,54,46,77,63,4.6,1,0
ME,Offline,No,65,37,74,36,4.7,0,0
ME,Hybrid,No,83,61,85,31,1.2,0,0
EE,Hybrid,Yes,93,52,81,62,4.3,5,0
ECE,Offline,Yes,84,94,61,93,1.3,1,1
ECE,Hybrid,Yes,90,44,83,35,3.2,3,0
EE,Online,Yes,75,97,38,84,4.8,2,1
CE,Hybrid,No,97,66,94,76,4.8,2,1
CE,Hybrid,No,92,42,98,71,5.6,2,1
ECE,Hybrid,No,90,37,52,83,6.4,0,1
ECE,Hybrid,Yes,98,86,57,42,5.5,3,0
ME,Hybrid,Yes,58,93,81,47,5.9,4,0
ME,Hybrid,Yes,88,49,44,37,6.4,2,0
ECE,Online,No,84,37,89,52,2.4,1,0
EE,Online,Yes,65,54,29,89,5.5,2,0
ME,Online,No,77,69,85,57,4.7,0,1
ME,Online,No,75,53,44,48,7.4,5,0
CSE,Online,No,71,53,48,69,4.9,2,0
CSE,Hybrid,Yes,83,59,79,53,3.6,5,0
ME,Online,Yes,80,38,59,85,4.9,0,1
ECE,Hybrid,Yes,88,40,98,88,4.4,4,0
ME,Offline,Yes,89,50,55,91,8,4,1
CE,Hybrid,No,50,40,28,32,5.8,2,0
EE,Hybrid,Yes,53,68,76,53,4.4,4,0
CE,Offline,Yes,91,80,43,56,5.3,4,0
ME,Online,Yes,77,69,38,30,6.3,1,0
CSE,Offline,No,56,75,27,31,4.9,5,0
CSE,Offline,Yes,59,63,35,45,3.5,5,0
ME,Offline,No,67,92,42,67,4.3,2,0
EE,Online,No,70,58,34,72,7,0,1
CSE,Online,No,86,91,54,83,3.4,5,0
ME,Hybrid,Yes,77,93,31,46,2.4,0,0
EE,Offline,Yes,80,78,92,83,4.3,3,1
ECE,Online,No,70,93,43,34,3.4,0,0
CSE,Online,Yes,99,43,34,51,5,3,0
EE,Online,No,63,40,57,94,4.2,1,0
CSE,Online,Yes,80,99,77,86,8.6,4,1
ECE,Online,Yes,62,90,30,86,7.3,4,0
ME,Online,Yes,87,92,59,81,5,0,1
CE,Online,Yes,96,66,31,94,3.8,2,1
ECE,Online,No,83,92,72,89,3.2,2,1
EE,Hybrid,Yes,79,40,29,53,4.6,5,0
ECE,Offline,No,74,74,92,46,6.6,1,1
CSE,Hybrid,No,52,40,46,36,2.4,1,0
CE,Hybrid,Yes,64,76,62,62,3.9,2,0
ME,Hybrid,No,55,98,60,92,5.2,4,1
ME,Online,Yes,94,43,82,57,2.4,1,0
EE,Hybrid,No,88,97,77,39,4.5,5,0
CSE,Online,No,90,75,88,54,4,5,0
CE,Online,Yes,84,89,92,34,5.6,4,0
EE,Hybrid,Yes,63,52,30,51,6.9,4,0
ME,Offline,No,97,85,94,93,5.3,1,1
ECE,Online,Yes,64,50,43,79,6,2,0
EE,Online,Yes,97,79,41,73,6.4,5,0
CE,Hybrid,No,86,79,54,76,5.4,0,1
EE,Online,Yes,95,43,84,36,5,4,0
ME,Online,No,89,66,82,47,6.1,4,0
ECE,Online,Yes,58,77,69,80,6,5,0
CSE,Online,No,55,85,62,66,5.5,1,1
ME,Offline,No,66,90,33,74,5.3,4,0
ECE,Hybrid,No,79,66,91,43,4.1,4,0
CSE,Offline,No,84,45,31,56,6.1,4,0
CSE,Hybrid,Yes,75,61,78,43,6.2,1,1
CSE,Online,Yes,86,41,25,64,7,0,0
CE,Hybrid,No,58,72,64,32,7,1,0
ME,Online,Yes,70,65,45,80,5.6,2,0
ECE,Offline,Yes,76,77,74,63,4.5,1,1
ME,Online,Yes,71,39,68,68,6.8,3,0
ECE,Hybrid,Yes,68,48,53,37,3.4,2,0
CE,Hybrid,Yes,96,45,89,45,4.9,4,0
ME,Offline,No,68,76,31,81,4.9,0,1
CE,Hybrid,Yes,93,80,94,73,5,0,1
ECE,Offline,Yes,75,92,36,51,5.6,2,0
CE,Hybrid,Yes,70,63,69,79,6.6,3,1
ME,Hybrid,No,60,38,31,50,4.9,5,0
CSE,Hybrid,Yes,55,84,48,66,7.7,2,1
ECE,Offline,No,90,42,87,71,5.7,5,0
EE,Offline,No,82,50,73,55,3.7,2,0
EE,Online,No,57,83,45,41,4,2,0
CE,Offline,No,87,54,38,33,2.7,5,0
CE,Offline,Yes,99,80,39,50,3.6,3,0
ECE,Offline,No,72,82,70,79,4.7,4,0
CE,Hybrid,No,56,44,55,65,4.6,3,0
CSE,Hybrid,No,52,59,31,40,5.6,1,0
ME,Online,No,65,96,55,46,2,3,0
ECE,Offline,No,98,46,81,55,3.7,5,0
EE,Hybrid,No,82,43,89,63,4.3,2,0
EE,Online,Yes,71,52,34,92,3.7,2,0
CSE,Hybrid,Yes,70,76,62,88,2.5,1,1
EE,Offline,No,91,91,72,46,5.9,1,1
CE,Offline,No,54,71,67,73,2.5,5,0
CE,Online,No,93,36,59,38,7.6,4,0
CE,Offline,No,76,70,64,83,5.7,4,0
ME,Offline,No,85,77,69,45,7,3,1
EE,Hybrid,No,89,82,56,73,3.8,3,1
CSE,Hybrid,Yes,52,51,97,30,3.7,5,0
CSE,Hybrid,No,67,57,68,49,5.5,4,0
CE,Offline,Yes,77,81,59,36,4.2,4,0
CE,Offline,Yes,60,43,93,62,3.2,0,1
CSE,Hybrid,No,80,60,74,59,6.7,3,0
CE,Online,Yes,57,67,74,58,2.1,0,0
ECE,Online,Yes,57,45,80,84,7.3,5,0
ECE,Hybrid,Yes,67,62,52,47,5.3,4,0
EE,Hybrid,Yes,96,57,95,39,3.1,3,0
CSE,Hybrid,No,75,63,37,71,4.7,3,0
CSE,Hybrid,No,82,93,28,72,6.5,5,0
CSE,Hybrid,Yes,67,58,80,97,4.8,3,1
ME,Hybrid,Yes,92,87,98,36,3.6,2,1
CE,Hybrid,No,68,81,34,81,4.6,5,0
EE,Online,Yes,74,87,60,76,3.6,0,1
EE,Hybrid,No,72,43,66,85,4.1,2,0
ME,Online,No,65,97,29,84,2.9,5,0
ECE,Hybrid,No,60,81,68,49,5,3,0
EE,Online,No,52,65,39,38,5,2,0
ME,Hybrid,Yes,92,42,66,96,7.1,1,1
ME,Hybrid,Yes,62,70,97,65,5.3,5,0
CSE,Online,No,95,58,56,90,4.9,4,0
ECE,Hybrid,No,95,94,68,72,6.9,1,1
ME,Offline,Yes,54,79,33,80,6.4,3,0
ME,Online,Yes,96,73,25,71,6.5,1,1
ME,Hybrid,No,78,59,41,60,3.6,5,0
ECE,Offline,Yes,88,67,90,80,5.4,5,1
CSE,Online,No,56,75,67,83,6,3,1
ECE,Online,No,65,79,87,72,3.7,1,1
CE,Hybrid,Yes,88,92,45,90,5.7,5,1
CE,Offline,Yes,52,61,35,64,8.4,2,0
CSE,Online,No,51,80,27,73,3.9,0,0
CSE,Offline,Yes,70,68,57,61,5.9,4,0
CE,Hybrid,No,54,81,82,68,3,2,0
CSE,Online,Yes,59,64,78,54,6,5,0
CE,Offline,No,90,95,80,64,6.6,1,1
ECE,Online,Yes,56,67,66,87,3.3,1,1
CSE,Offline,Yes,70,45,81,81,3.1,5,0
CSE,Online,No,51,65,85,51,5.5,0,1
ME,Offline,Yes,72,91,52,94,4.9,2,1
CE,Hybrid,Yes,60,89,55,95,6.5,0,1
CSE,Online,Yes,91,76,90,99,4.5,4,1
CSE,Hybrid,Yes,97,64,68,74,5.6,1,1
ME,Offline,No,74,91,54,66,3.2,4,0
EE,Online,Yes,82,58,72,62,2.4,4,0
EE,Hybrid,Yes,87,45,59,70,5.3,5,0
EE,Online,No,70,73,88,49,7.2,5,0
ECE,Hybrid,Yes,53,37,31,60,3.2,4,0
ME,Hybrid,Yes,61,93,69,75,6.1,5,0
CE,Offline,Yes,98,42,93,30,5.2,0,1
CSE,Offline,Yes,80,95,67,36,7.7,2,1
CSE,Online,No,59,73,44,86,5.2,5,0
ME,Offline,Yes,77,78,53,38,5.9,5,0
CSE,Hybrid,Yes,71,63,93,93,3.5,1,1
ECE,Hybrid,No,51,68,95,65,4,0,1
ECE,Offline,No,68,90,88,62,4.1,2,1
EE,Offline,No,95,94,88,60,5.1,4,1
ECE,Hybrid,No,83,44,28,32,8.1,0,0
CE,Online,No,78,92,79,79,3.6,4,1
CSE,Online,No,50,71,57,57,2.2,3,0
CE,Online,No,73,74,53,65,3.2,5,0
ECE,Online,Yes,66,80,74,63,3.9,3,0
ME,Hybrid,Yes,66,74,25,49,3.6,0,0
CSE,Online,Yes,80,38,70,69,4.3,5,0
EE,Online,Yes,98,98,79,57,5,4,1
CE,Offline,No,69,88,66,52,5.3,1,1
ME,Online,No,56,40,49,50,5.3,4,0
CSE,Online,Yes,73,41,32,49,3.9,1,0
ECE,Online,No,88,43,74,55,3.2,3,0
CSE,Hybrid,Yes,82,59,79,78,4.6,4,0
ECE,Hybrid,No,75,54,66,30,4.4,0,0
CE,Offline,No,53,91,88,53,5.6,5,0
ECE,Online,Yes,50,89,88,85,2.9,2,1
CE,Hybrid,No,97,40,54,69,5.6,4,0
ECE,Online,Yes,84,93,50,32,2.8,5,0
CE,Online,No,98,88,29,66,5.5,3,0
EE,Offline,Yes,68,72,90,97,4.8,3,1
CE,Offline,Yes,76,48,47,66,2.6,3,0
ECE,Offline,Yes,64,44,82,88,5.1,3,0
ME,Hybrid,No,52,96,87,66,6.6,5,0
EE,Hybrid,Yes,86,67,57,59,5.3,4,0
CE,Hybrid,No,81,53,95,94,3.5,3,1
CE,Online,No,77,80,89,77,5.3,5,0
CE,Online,No,54,38,99,71,7.4,3,0
CSE,Online,Yes,62,80,58,36,3.9,2,0
CSE,Offline,No,68,77,30,58,3.6,0,0
ECE,Online,Yes,70,83,62,84,4.8,4,0
ECE,Online,No,96,69,78,58,5,0,1
CE,Offline,No,86,95,86,71,4.1,0,1
ECE,Online,No,68,98,27,98,3.7,1,1
ME,Hybrid,Yes,89,66,44,83,4.4,2,1
CSE,Online,Yes,93,49,72,66,3.7,0,1
CE,Hybrid,No,59,47,79,49,3.8,4,0
ME,Hybrid,No,83,72,50,67,5.9,1,1
ME,Offline,Yes,50,46,54,58,5.5,2,0
ECE,Offline,No,56,83,41,37,4.5,5,0
EE,Online,No,73,73,50,61,5.7,2,0
EE,Hybrid,Yes,70,55,92,48,4.3,2,0
EE,Online,Yes,78,46,60,69,4.3,3,0
ME,Online,Yes,62,99,88,45,5.2,0,1
CSE,Offline,Yes,67,69,66,99,3.3,1,1
ECE,Online,No,82,67,39,63,5.6,2,0
CE,Offline,Yes,97,73,61,43,4,3,0
ECE,Online,No,90,42,65,86,5.7,1,1
ECE,Hybrid,Yes,68,92,42,69,3.6,5,0
CSE,Offline,No,68,74,68,99,5.4,4,1
ME,Online,Yes,76,80,46,59,5.9,1,1
ME,Hybrid,No,72,94,81,83,5.4,3,1
CSE,Online,No,80,50,90,76,6.4,3,1
ME,Hybrid,Yes,62,93,30,78,4.8,0,1
ECE,Online,Yes,92,90,44,38,5.3,0,1
ME,Hybrid,No,63,74,37,47,4.8,1,0
CSE,Offline,Yes,98,44,49,80,7.5,2,1
EE,Offline,No,66,49,84,41,5.6,1,0
EE,Online,No,55,86,42,50,6,1,0
ECE,Hybrid,No,71,64,56,52,7.5,5,0
ECE,Online,No,56,76,54,70,6,0,1
EE,Offline,No,76,49,36,83,6.2,0,1
EE,Online,No,65,35,27,62,4,3,0
ME,Online,Yes,55,89,38,55,4.2,1,0
ME,Hybrid,Yes,91,57,72,66,6.6,3,1
ME,Hybrid,No,66,62,36,85,4.7,0,1
CE,Offline,No,93,63,38,73,6,1,1
CSE,Offline,Yes,70,92,43,30,5.1,4,0
ME,Online,No,86,70,60,45,6.5,3,0
CE,Online,Yes,73,95,60,30,5.1,2,0
ECE,Offline,Yes,84,95,32,79,4.3,5,0
ECE,Online,No,64,92,82,87,1.7,3,1
CSE,Online,Yes,93,45,91,63,2.9,2,0
ME,Hybrid,No,86,83,27,46,4.2,2,0
EE,Online,No,90,64,51,50,6.9,1,1
ECE,Hybrid,No,80,83,94,90,4.3,5,1
EE,Online,No,72,45,77,63,6.9,1,1
EE,Offline,No,59,66,95,90,5.1,2,1
CE,Hybrid,Yes,97,69,75,80,5.2,4,1
EE,Online,Yes,82,93,43,40,4.7,0,1
ECE,Online,No,99,64,56,83,6.6,3,1
ME,Hybrid,No,78,90,74,79,4.7,0,1
ME,Hybrid,No,51,93,28,50,6.6,3,0
CE,Online,Yes,84,58,52,48,5,0,1
EE,Online,Yes,97,56,33,87,5.9,3,0
EE,Offline,No,65,92,85,51,3.2,4,0
ME,Online,No,81,79,43,88,5.7,3,1
CSE,Online,No,53,36,75,74,2.7,3,0
CSE,Online,Yes,65,60,69,31,4.3,3,0
CSE,Hybrid,Yes,81,83,57,46,2.1,0,1
EE,Hybrid,No,82,95,44,56,4.7,3,0
EE,Offline,Yes,79,67,41,57,3.4,1,0
EE,Hybrid,No,67,93,93,49,4.7,2,1
ME,Hybrid,Yes,88,92,34,94,5.1,2,1
CE,Hybrid,No,65,80,83,54,4.7,0,1
ECE,Hybrid,Yes,80,70,65,78,5.1,3,1
ME,Online,Yes,91,66,89,86,5.4,3,1
ME,Hybrid,Yes,61,92,25,36,3.6,1,0
ECE,Hybrid,No,59,61,57,70,5.6,1,1
CSE,Hybrid,No,85,86,41,56,4.3,5,0
CE,Online,No,94,56,65,65,2.3,1,0
ECE,Hybrid,Yes,79,77,69,86,6.7,0,1
EE,Online,Yes,62,59,52,80,4.3,2,0
ECE,Hybrid,Yes,51,44,34,41,5.8,3,0
ECE,Hybrid,No,94,42,29,86,2.8,4,0
EE,Offline,Yes,54,68,84,80,4.8,3,0
CSE,Offline,No,68,65,84,99,4,4,1
EE,Offline,Yes,96,54,33,90,7.9,0,1
EE,Online,No,83,49,65,75,4.9,3,0
ME,Offline,Yes,73,37,41,85,6.8,1,0
ME,Hybrid,Yes,97,56,28,53,3.5,2,0
ECE,Hybrid,No,70,58,87,51,6.1,5,0
ECE,Online,No,55,70,42,51,6.8,3,0
CSE,Online,Yes,90,50,68,91,8,4,1
CSE,Hybrid,Yes,76,56,33,57,6,4,0
ECE,Hybrid,Yes,96,95,97,39,6.8,5,1
ECE,Hybrid,Yes,67,46,35,32,5.6,2,0
ME,Hybrid,No,55,65,55,64,6.5,4,0
ECE,Online,No,61,99,53,90,4.6,0,1
EE,Offline,No,63,75,87,86,8.2,1,1
CSE,Offline,Yes,95,67,53,67,4.7,0,1
ECE,Hybrid,Yes,91,37,92,37,5.1,5,0
ME,Online,No,95,35,45,70,3.9,4,0
ECE,Hybrid,Yes,60,79,86,45,6.7,4,0
CE,Online,Yes,93,46,89,98,4.2,4,1
CSE,Hybrid,Yes,66,46,99,95,5.7,2,1
ME,Offline,Yes,84,74,32,95,2.4,3,0
ME,Offline,No,58,66,89,68,6.9,4,0
CSE,Offline,Yes,69,93,65,98,5.6,4,1
EE,Hybrid,No,55,83,64,43,5.5,5,0
ME,Hybrid,Yes,64,81,68,96,2.7,4,0
ECE,Offline,Yes,53,47,45,66,6.9,5,0
CE,Hybrid,No,52,60,35,39,4,4,0
CSE,Online,Yes,92,62,51,56,6.4,1,1
EE,Online,No,86,53,69,31,7.5,5,0
ECE,Offline,No,65,67,34,58,1.7,4,0
ECE,Online,Yes,64,78,64,82,6.6,2,1
CE,Hybrid,Yes,93,75,67,43,6.6,1,1
CSE,Hybrid,No,90,63,53,59,9.2,3,1
EE,Online,Yes,82,79,29,61,4.1,2,0
ME,Offline,Yes,85,61,43,30,6.3,5,0
EE,Offline,Yes,91,49,61,98,4.4,4,0
CSE,Online,No,73,38,68,89,5.3,3,0
CSE,Offline,Yes,54,59,75,87,4.8,3,0
CE,Hybrid,Yes,56,95,47,34,5.6,0,1
ECE,Hybrid,Yes,99,94,85,93,5.4,2,1
CSE,Hybrid,Yes,77,43,56,77,5.3,3,0
EE,Offline,No,91,70,49,67,3.3,2,0
EE,Hybrid,Yes,71,66,38,83,7,5,0
ME,Online,Yes,90,76,90,70,4.6,3,1
CE,Hybrid,Yes,76,89,37,91,6.4,5,0
EE,Offline,No,68,35,72,36,4.8,1,0
ECE,Hybrid,Yes,58,44,65,30,3.9,1,0
ECE,Hybrid,Yes,93,88,98,33,3,2,1
EE,Hybrid,No,63,52,78,70,3.5,1,0
CE,Hybrid,Yes,76,98,38,77,6.9,3,1
ECE,Offline,Yes,99,42,70,60,6.3,2,1
CE,Online,No,94,43,92,78,4.4,1,1
CE,Hybrid,Yes,65,84,25,56,6.8,5,0
ME,Offline,Yes,96,90,74,41,3.7,0,1
EE,Online,Yes,81,72,60,93,4.9,4,1
EE,Hybrid,Yes,55,85,27,57,4.5,0,0
CSE,Online,No,97,97,48,32,4.8,0,1
CE,Online,No,96,73,26,54,3.7,5,0
ME,Offline,No,50,90,94,91,3.3,3,1
CE,Online,Yes,75,60,27,92,6,2,0
ME,Offline,No,69,39,28,39,5.6,1,0
EE,Online,No,81,55,34,93,3.9,4,0
ME,Online,No,53,64,76,33,4.1,4,0
CE,Offline,No,98,80,43,50,3.4,1,1
CSE,Hybrid,Yes,68,80,95,52,5.6,1,1
ECE,Online,Yes,73,61,25,93,5.3,0,1
CE,Hybrid,No,65,96,81,73,5.1,0,1
ME,Hybrid,No,65,86,31,70,6.6,2,1
